Time,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,AOA,AOS,TAS
0.11199927,-128.17821059,0.57422818,26.0,-10.935645,18.578638,63.504593,11.5,3.2,204.0
0.20400047,-128.17817166,0.57424897,26.0,-11.074564,18.289244,63.391861,11.0,3.2,205.0
0.31309009,-128.17812357,0.57427439,27.0,-11.454412,17.643723,63.266083,9.9,3.2,206.0
0.40609026,-128.17808234,0.57429749,28.0,-11.990579,16.833723,63.139633,9.1,3.2,206.0
0.51508904,-128.1780354,0.57432291,29.0,-12.75158,15.787931,62.961105,7.7,3.0,207.0
0.60693526,-128.17799417,0.57434486,29.0,-13.456793,14.860516,62.765732,6.9,2.9,208.0
0.71193576,-128.17794837,0.57437027,30.0,-14.385559,13.657716,62.480179,5.8,2.7,209.0
0.81693482,-128.17790142,0.57439569,31.0,-15.291817,12.568331,62.124512,5.0,2.4,210.0
0.90693569,-128.17786249,0.57441764,31.0,-16.197083,11.6373,61.753632,4.4,2.1,211.0
1.01500845,-128.1778144,0.57444421,32.0,-17.30687,10.722412,61.216583,3.9,1.7,212.0
1.10800862,-128.17777318,0.57446731,33.0,-18.295753,10.111355,60.685196,3.6,1.2,213.0
1.21700788,-128.17772394,0.57449503,33.0,-19.658375,9.533131,59.995865,3.6,0.8,214.0
1.30900812,-128.17768386,0.57451929,34.0,-20.718122,9.243633,59.378387,3.7,0.5,214.0
1.41601515,-128.17763463,0.57454701,35.0,-22.017567,9.044065,58.628052,4.1,0.1,216.0
1.50900841,-128.17759111,0.57457243,35.0,-23.134586,9.01009,57.972473,4.5,-0.0,217.0
1.61657691,-128.17754302,0.5746013,36.0,-24.220284,9.113564,57.253952,5.0,-0.2,218.0
1.71057701,-128.17750066,0.57462671,36.0,-25.018175,9.305178,56.663773,5.5,-0.2,219.0
1.81757712,-128.17745142,0.57465559,37.0,-25.561638,9.566835,56.066193,6.0,-0.2,220.0
1.91057777,-128.17740906,0.574681,37.0,-25.673702,9.826484,55.633102,6.4,-0.1,221.0
2.01677895,-128.17735982,0.57471219,37.0,-25.232887,10.091266,55.253448,6.7,-0.0,222.0
2.10678148,-128.17731975,0.5747376,38.0,-24.425383,10.266105,55.047012,6.9,0.1,222.0
2.21177936,-128.17727166,0.57476878,38.0,-22.745319,10.445018,54.909012,7.0,0.2,223.0
