Time,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,AOA,AOS,TAS
46.4,-128.08098667,0.62731148,401.0,-61.944752,10.080698,-141.705257,7.2,0.4,426.0
46.45,-128.08105421,0.62724163,401.5,-61.960918500000005,10.109954,-142.16508249999998,7.2,0.35,426.0
46.5,-128.08112175,0.62717178,402.0,-61.977085,10.13921,-142.624908,7.2,0.3,426.0
46.55,-128.08118699,0.62710135,403.0,-61.986057,10.169228,-143.080511,7.15,0.3,426.0
46.6,-128.08125223,0.62703092,404.0,-61.995029,10.199246,-143.536114,7.1,0.3,426.0
46.65,-128.08132433999998,0.626950685,404.5,-61.995945000000006,10.2354515,-144.0576495,7.1,0.3,426.0
46.7,-128.08139645,0.62687045,405.0,-61.996861,10.271657,-144.579185,7.1,0.3,426.0
46.75,-128.08147027500002,0.62678502,406.0,-61.98724,10.3128845,-145.1152855,7.05,0.3,426.0
46.8,-128.0815441,0.62669959,407.0,-61.977619,10.354112,-145.651386,7.0,0.3,426.0
46.85,-128.08160533,0.626626285,407.5,-61.965803,10.3911825,-146.110405,7.0,0.3,426.0
46.9,-128.08166656,0.62655298,408.0,-61.953987,10.428253,-146.569424,7.0,0.3,426.0
46.95,-128.081726645,0.626478525,408.5,-61.941284,10.4659945,-147.032944,7.0,0.3,426.0
47.0,-128.08178673,0.62640407,409.0,-61.928581,10.503736,-147.496464,7.0,0.3,426.0
47.05,-128.081853675,0.62631807,410.0,-61.9147545,10.5528655,-148.0278905,7.0,0.3,426.0
47.1,-128.08192062,0.62623207,411.0,-61.900928,10.601995,-148.559317,7.0,0.3,426.0
47.15,-128.08197898,0.626153575,411.5,-61.889402,10.6531135,-149.0403375,7.0,0.3,426.0
47.2,-128.08203734,0.62607508,412.0,-61.877876,10.704232,-149.521358,7.0,0.3,426.0
47.25,-128.08210371,0.62598389,413.0,-61.8655985,10.767256,-150.0881155,7.0,0.3,426.0
47.3,-128.08217008,0.6258927,414.0,-61.853321,10.83028,-150.654873,7.0,0.3,426.0
