Time,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,AOA,AOS,TAS
63.2,-128.13363733,0.25586916,372.0,4.625565,-5.706545,41.149521,-1.7,0.1,913.0
63.25,-128.13356576,0.255951655,371.0,4.5435885,-5.652255500000001,41.161743,-1.7,0.1,913.0
63.3,-128.13349419,0.25603415,370.0,4.461612,-5.597966,41.173965,-1.7,0.1,913.0
63.35,-128.13341631999998,0.2561235699999999,369.0,4.3655305,-5.528423,41.188362,-1.7,0.1,912.5
63.4,-128.13333845,0.25621299,368.0,4.269449,-5.45888,41.202759,-1.7,0.1,912.0
63.45,-128.133268025,0.25629318,367.0,4.192595,-5.401328,41.2142945,-1.7,0.1,912.0
63.5,-128.1331976,0.25637337,366.0,4.115741,-5.343776,41.22583,-1.7,0.1,912.0
63.55,-128.13311743999998,0.256465095,365.0,4.0659515,-5.306490999999999,41.233307,-1.65,0.1,912.0
63.6,-128.13303728,0.25655682,364.0,4.016162,-5.269206,41.240784,-1.6,0.1,912.0
63.65,-128.132967995,0.25663643,363.5,3.9500885,-5.202106,41.254555,-1.6,0.05,912.0
63.7,-128.13289871,0.25671604,363.0,3.884015,-5.135006,41.268326,-1.6,0.0,912.0
63.75,-128.13282198500002,0.25680373,362.0,3.8405065,-5.090821999999999,41.2773975,-1.6,0.0,912.0
63.8,-128.13274526,0.25689142,361.0,3.796998,-5.046638,41.286469,-1.6,0.0,912.0
63.85,-128.132671975,0.2569750699999999,360.5,3.7592535,-4.9853025,41.300232,-1.65,0.0,911.5
63.9,-128.13259869,0.25705872,360.0,3.721509,-4.923967,41.313995,-1.7,0.0,911.0
63.95,-128.13253456,0.257131405,359.5,3.691149,-4.864681,41.327606,-1.7,0.05,911.0
64.0,-128.13247043,0.25720409,359.0,3.660789,-4.805395,41.341217,-1.7,0.1,911.0
64.05,-128.132391415,0.257294665,358.0,3.639216,-4.763268999999999,41.3508985,-1.7,0.1,911.0
64.1,-128.1323124,0.25738524,357.0,3.617643,-4.721143,41.36058,-1.7,0.1,911.0
64.15,-128.13224369,0.257463695,356.5,3.518534,-4.642192,41.379608000000005,-1.7,0.1,910.5
64.2,-128.13217498,0.25754215,356.0,3.419425,-4.563241,41.398636,-1.7,0.1,910.0
64.25,-128.132100545,0.257626955,355.0,3.357355,-4.513795999999999,41.410553,-1.7,0.05,910.0
64.3,-128.13202611,0.25771176,354.0,3.295285,-4.464351,41.42247,-1.7,0.0,910.0
