Time,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,AOA,AOS,TAS
60.1,-128.15846609,0.50320774,2124.0,71.506332,-53.652142,73.423172,8.6,-0.6,638.0
60.15,-128.15842601,0.5032319949999999,2115.0,69.4706725,-53.206503,75.40576949999999,8.6,-0.55,638.5
60.2,-128.15838593,0.50325625,2106.0,67.435013,-52.760864,77.388367,8.6,-0.5,639.0
60.25,-128.158357305,0.50327242,2101.0,65.95291900000001,-52.3507595,78.871445,8.649999999999999,-0.5,639.0
60.3,-128.15832868,0.50328859,2096.0,64.470825,-51.940655,80.354523,8.7,-0.5,639.0
60.35,-128.158277145,0.50331285,2085.5,62.83829850000001,-51.488924,81.9880985,8.6,-0.45,640.0
60.4,-128.15822561,0.50333711,2075.0,61.205772,-51.037193,83.621674,8.5,-0.4,641.0
60.45,-128.15818323,0.5033521350000001,2068.0,59.342346000000006,-50.311506,85.44596899999999,8.5,-0.4,641.5
60.5,-128.15814085,0.50336716,2061.0,57.47892,-49.585819,87.270264,8.5,-0.4,642.0
60.55,-128.158105345,0.5033793,2055.0,56.195921,-49.0604955,88.52136250000001,8.5,-0.35,642.5
60.6,-128.15806984,0.50339144,2049.0,54.912922,-48.535172,89.772461,8.5,-0.3,643.0
60.65,-128.15801772,0.50340071,2040.5,53.6959095,-47.984261,90.92128,8.6,-0.15,643.5
60.7,-128.1579656,0.50340998,2032.0,52.478897,-47.43335,92.070099,8.7,0.0,644.0
60.75,-128.157929515,0.50341635,2026.5,50.7749365,-46.5029985,93.563843,8.8,0.15,644.5
60.8,-128.15789343,0.50342272,2021.0,49.070976,-45.572647,95.057587,8.9,0.3,645.0
60.85,-128.15783615499998,0.5034285350000001,2013.0,47.8651715,-44.9142875,96.114624,8.8,0.25,645.5
60.9,-128.15777888,0.50343435,2005.0,46.659367,-44.255928,97.171661,8.7,0.2,646.0
60.95,-128.157725605,0.5034355450000001,1998.0,45.069361,-43.224703,98.3813625,8.149999999999999,-0.2,646.0
61.0,-128.15767233,0.50343674,1991.0,43.479355,-42.193478,99.591064,7.6,-0.6,646.0
61.05,-128.157620205,0.503437355,1984.0,42.131695,-41.284872,100.577362,7.1,-1.05,647.5
61.1,-128.15756808,0.50343797,1977.0,40.784035,-40.376266,101.56366,6.6,-1.5,649.0
61.15,-128.15751881,0.5034334,1971.5,40.0467895,-39.8792095,102.1032105,6.75,-1.4,649.0
61.2,-128.15746954,0.50342883,1966.0,39.309544,-39.382153,102.642761,6.9,-1.3,649.0
61.25,-128.15741111,0.50342311,1959.0,37.422024,-37.871712,103.7083585,7.1,-1.15,649.5
61.3,-128.15735268,0.50341739,1952.0,35.534504,-36.361271,104.773956,7.3,-1.0,650.0
61.35,-128.15729138,0.503408785,1945.5,34.421816,-35.467579,105.3977505,7.35,-0.95,650.0
61.4,-128.15723008,0.50340018,1939.0,33.309128,-34.573887,106.021545,7.4,-0.9,650.0
61.45,-128.1571831,0.503390995,1934.5,32.0674165,-33.4873755,106.5660855,7.45,-0.8500000000000001,650.0
61.5,-128.15713612,0.50338181,1930.0,30.825705,-32.400864,107.110626,7.5,-0.8,650.0
61.55,-128.15707138,0.5033697500000001,1924.0,29.42812,-31.1517395,107.6789395,7.5,-0.8500000000000001,650.5
61.6,-128.15700664,0.50335769,1918.0,28.030535,-29.902615,108.247253,7.5,-0.9,651.0
61.65,-128.156937885,0.50333987,1912.0,27.248703,-29.203834,108.5651855,7.55,-0.75,651.0
61.7,-128.15686913,0.50332205,1906.0,26.466871,-28.505053,108.883118,7.6,-0.6,651.0
61.75,-128.15680897,0.503306525,1900.5,24.797699,-26.9871865,109.2595065,7.65,-0.5,651.5
61.8,-128.15674881,0.503291,1895.0,23.128527,-25.46932,109.635895,7.7,-0.4,652.0
61.85,-128.15667891,0.5032702950000001,1889.5,22.0211115,-24.462288,109.88562,7.75,-0.35,652.0
61.9,-128.15660901,0.50324959,1884.0,20.913696,-23.455256,110.135345,7.8,-0.3,652.0
61.95,-128.1565477,0.50323061,1880.0,19.429945,-22.210279,110.27124,7.8,-0.3,652.0
62.0,-128.15648639,0.50321163,1876.0,17.946194,-20.965302,110.407135,7.8,-0.3,652.0
62.05,-128.156415915,0.503189195,1871.0,16.444957,-19.728097,110.501831,7.8,-0.35,652.0
62.1,-128.15634544,0.50316676,1866.0,14.94372,-18.490892,110.596527,7.8,-0.4,652.0
62.15,-128.15628470500002,0.50314605,1863.0,14.2529435,-17.921605999999997,110.640106,7.8,-0.3,651.5
62.2,-128.15622397,0.50312534,1860.0,13.562167,-17.35232,110.683685,7.8,-0.2,651.0
62.25,-128.15614318000002,0.5030977249999999,1855.5,11.2807405,-15.445754,110.527176,7.8,-0.2,651.0
62.3,-128.15606239,0.50307011,1851.0,8.999314,-13.539188,110.370667,7.8,-0.2,651.0
62.35,-128.15599764,0.503047095,1848.0,7.960155,-12.6707735,110.2993775,7.85,-0.15,651.0
62.4,-128.15593289,0.50302408,1845.0,6.920996,-11.802359,110.228088,7.9,-0.1,651.0
