Time,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,AOA,AOS,TAS
49.85,-128.264235375,0.50487292,2419.0,-4.0049755,26.8220055,-89.43221249999999,-0.85,3.25,574.0
49.9,-128.26430124,0.50487287,2423.0,-3.951685,26.675152,-89.405525,-1.0,3.3,573.0
49.95,-128.26435908500002,0.50487282,2426.5,-3.884286,26.1466905,-89.320572,-1.25,3.35,572.5
50.0,-128.26441693,0.50487277,2430.0,-3.816887,25.618229,-89.235619,-1.5,3.4,572.0
50.05,-128.26448394,0.50487214,2433.5,-3.7466225,24.988532,-89.135296,-1.9,3.45,571.0
50.1,-128.26455095,0.50487151,2437.0,-3.676358,24.358835,-89.034973,-2.3,3.5,570.0
50.15,-128.26460879500002,0.5048714599999999,2440.5,-3.6268145,23.9363155,-88.9707565,-2.55,3.2,569.5
50.2,-128.26466664,0.50487141,2444.0,-3.577271,23.513796,-88.90654,-2.8,2.9,569.0
50.25,-128.26473250499998,0.50487136,2447.5,-3.4569065,22.567875,-88.774956,-3.1,2.55,568.5
50.3,-128.26479837,0.50487131,2451.0,-3.336542,21.621954,-88.643372,-3.4,2.2,568.0
50.35,-128.26485507,0.50487126,2454.5,-3.278828,21.1683905,-88.5802765,-3.6,1.7000000000000002,567.5
50.4,-128.26491177,0.50487121,2458.0,-3.221114,20.714827,-88.517181,-3.8,1.2,567.0
50.45,-128.26497763499998,0.50487116,2461.0,-3.076044,20.2033445,-88.4122275,-3.8,0.5,566.5
50.5,-128.2650435,0.50487111,2464.0,-2.930974,19.691862,-88.307274,-3.8,-0.2,566.0
50.55,-128.265109935,0.504871055,2467.5,-2.8129065,19.330248,-88.2265205,-3.7,-0.8,565.5
50.6,-128.26517637,0.504871,2471.0,-2.694839,18.968634,-88.145767,-3.6,-1.4,565.0
50.65,-128.26523937000002,0.504870945,2474.0,-2.5797030000000003,18.747758,-88.07652250000001,-3.55,-1.2999999999999998,564.5
50.7,-128.26530237,0.50487089,2477.0,-2.464567,18.526882,-88.007278,-3.5,-1.2,564.0
50.75,-128.26537167499998,0.50487141,2480.0,-2.242786,18.2923765,-87.88765699999999,-3.4,-1.05,563.5
50.8,-128.26544098,0.50487193,2483.0,-2.021005,18.057871,-87.768036,-3.3,-0.9,563.0
50.85,-128.26549997,0.504871885,2486.0,-1.911544,17.94213,-87.708996,-3.25,-0.95,562.5
50.9,-128.26555896,0.50487184,2489.0,-1.802083,17.826389,-87.649956,-3.2,-1.0,562.0
50.95,-128.265625395,0.50487236,2491.5,-1.5664030000000002,17.3053595,-87.477024,-3.25,-1.1,562.0
51.0,-128.26569183,0.50487288,2494.0,-1.330723,16.78433,-87.304092,-3.3,-1.2,562.0
51.05,-128.265749675,0.50487341,2496.5,-1.1569525,16.3756445,-87.172451,-3.45,-1.15,561.5
51.1,-128.26580752,0.50487394,2499.0,-0.983182,15.966959,-87.04081,-3.6,-1.1,561.0
51.15,-128.26586594000003,0.50487447,2501.5,-0.8624620000000001,15.6701675,-86.948601,-3.75,-0.65,560.5
51.2,-128.26592436,0.504875,2504.0,-0.741742,15.373376,-86.856392,-3.9,-0.2,560.0
51.25,-128.26599538,0.5048755149999999,2507.0,-0.432493,14.468521,-86.6116335,-4.1,0.35,559.5
51.3,-128.2660664,0.50487603,2510.0,-0.123244,13.563666,-86.366875,-4.3,0.9,559.0
51.35,-128.26612539,0.50487656,2512.0,0.0169329999999999,13.1535115,-86.255932,-4.4,1.2,559.0
51.4,-128.26618438,0.50487709,2514.0,0.15711,12.743357,-86.144989,-4.5,1.5,559.0
