Time,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,AOA,AOS,TAS
0.0,-128.17821059,0.57422818,26.0,-10.935645,18.578638,63.504593,11.5,3.2,204.0
0.2,-128.17812357,0.57427439,27.0,-11.454412,17.643723,63.266083,9.9,3.2,206.0
0.4,-128.1780354,0.57432291,29.0,-12.75158,15.787931,62.961105,7.7,3.0,207.0
0.6,-128.17794837,0.57437027,30.0,-14.385559,13.657716,62.480179,5.8,2.7,209.0
0.8,-128.17786249,0.57441764,31.0,-16.197083,11.6373,61.753632,4.4,2.1,211.0
1.0,-128.17777318,0.57446731,33.0,-18.295753,10.111355,60.685196,3.6,1.2,213.0
1.2,-128.17768386,0.57451929,34.0,-20.718122,9.243633,59.378387,3.7,0.5,214.0
1.4,-128.17759111,0.57457243,35.0,-23.134586,9.01009,57.972473,4.5,-0.0,217.0
1.6,-128.17750066,0.57462671,36.0,-25.018175,9.305178,56.663773,5.5,-0.2,219.0
1.8,-128.17740906,0.574681,37.0,-25.673702,9.826484,55.633102,6.4,-0.1,221.0
2.0,-128.17731975,0.5747376,38.0,-24.425383,10.266105,55.047012,6.9,0.1,222.0
2.2,-128.17722472,0.57479881,39.0,-20.599894,10.540354,54.880692,7.0,0.3,224.0
2.4,-128.17713884,0.5748554,39.0,-15.31383,10.528169,55.031876,6.9,0.3,226.0
2.6,-128.17704038,0.57492123,40.0,-8.174196,10.569389,55.310059,6.7,0.1,228.0
2.8,-128.17695107,0.57498243,41.0,-2.477196,11.126549,55.623474,7.1,-0.1,230.0
3.0,-128.17686062,0.57504364,42.0,2.351461,12.269421,56.171646,8.0,-0.2,232.0
3.2,-128.17676445,0.57510947,43.0,6.886454,13.441637,57.14798,8.7,-0.1,233.0
3.4,-128.17667171,0.57517183,44.0,11.557014,13.902155,58.359711,8.7,0.0,235.0
3.6,-128.17657782,0.5752342,46.0,16.767916,13.777283,59.695312,8.3,0.2,236.0
3.8,-128.1764805,0.57529656,47.0,22.396883,13.367332,61.131622,7.8,0.3,238.0
4.0,-128.17637974,0.57535893,48.0,28.483273,12.885056,62.656204,7.4,0.4,239.0
4.2,-128.17629043,0.57541322,50.0,33.817677,12.422717,64.082611,7.2,0.4,240.0
4.4,-128.17618967,0.57547098,51.0,39.647717,11.861359,65.743225,7.1,0.3,242.0
4.6,-128.17607745,0.57553221,53.0,45.486732,11.364978,67.912521,7.3,0.3,243.0
4.8,-128.17597324,0.57558535,55.0,49.720085,11.019723,70.335632,7.8,0.4,245.0
5.0,-128.17586903,0.57563504,56.0,53.260925,10.628852,73.144608,8.5,0.7,246.0
5.2,-128.17576253,0.57568127,57.0,56.435455,10.096243,76.343933,9.3,1.2,247.0
5.4,-128.17564686,0.57572635,59.0,58.943752,9.395682,80.139191,10.2,1.9,249.0
5.6,-128.17553233,0.57576567,60.0,60.381828,8.528665,83.938751,11.0,3.0,250.0
5.8,-128.17542009,0.57579807,61.0,61.014225,7.36085,87.104736,11.1,4.0,251.0
6.0,-128.17530097,0.57582701,63.0,60.78233,5.914009,89.669403,10.4,5.1,252.0
6.2,-128.17517955,0.57585019,64.0,59.768539,4.715061,91.968079,9.7,6.0,253.0
6.4,-128.17506042,0.57586759,65.0,58.31712,4.003911,94.068878,9.2,6.4,254.0
6.6,-128.17492983,0.57588155,66.0,56.247261,3.719511,96.196594,8.7,6.6,256.0
6.8,-128.17481069,0.57588974,67.0,54.005745,3.902383,97.970612,8.5,6.4,257.0
7.0,-128.17468926,0.57589331,68.0,50.992531,4.58095,99.78125,8.5,6.0,258.0
7.2,-128.17455636,0.57589228,69.0,46.958305,5.841078,101.808197,8.8,5.6,260.0
7.4,-128.17443148,0.57588778,70.0,42.475952,7.390672,103.654297,9.3,5.4,261.0
7.6,-128.17430316,0.57587867,71.0,37.580521,9.15452,105.424316,9.7,5.3,262.0
7.8,-128.17417942,0.57586494,73.0,32.740135,10.949022,106.973236,10.0,5.4,263.0
8.0,-128.17405109,0.57584776,74.0,27.546951,12.920196,108.367981,10.3,5.6,264.0
8.2,-128.17393537,0.57582941,76.0,22.861946,14.715555,109.376221,10.4,6.0,264.0
8.4,-128.1738013,0.57580416,78.0,17.301788,16.906475,110.210449,10.4,6.4,265.0
8.6,-128.17368214,0.57578121,80.0,12.545578,18.867676,110.610077,10.3,6.6,265.0
8.8,-128.17355838,0.57575479,83.0,8.098531,20.779041,110.641815,10.2,6.8,265.0
9.0,-128.1734415,0.57572837,86.0,4.463169,22.316013,110.288483,9.9,6.7,265.0
9.2,-128.17331546,0.57569966,89.0,0.102306,23.668949,109.419067,9.4,6.4,265.0
9.4,-128.17319514,0.57567209,93.0,-4.571447,24.764221,108.172241,8.8,5.9,265.0
9.6,-128.17307482,0.57564452,97.0,-9.783593,25.82103,106.590454,8.4,5.4,264.0
9.8,-128.17295221,0.57561811,102.0,-15.483007,26.778961,104.694489,8.2,4.9,264.0
10.0,-128.17283304,0.57559284,106.0,-21.629642,27.631033,102.63327,8.0,4.5,264.0
10.2,-128.17271388,0.57556988,111.0,-28.049459,28.432573,100.451019,8.0,4.3,263.0
10.4,-128.17259356,0.57554924,116.0,-34.0228,28.995182,98.292633,7.8,4.3,263.0
10.6,-128.17247555,0.57553089,121.0,-38.882759,29.25598,96.297638,7.6,4.3,262.0
10.8,-128.17235868,0.57551716,126.0,-43.001915,29.395464,94.29895,7.3,4.3,262.0
11.0,-128.17224296,0.57550573,132.0,-47.226452,29.543161,92.136047,7.3,4.4,261.0
11.2,-128.17211693,0.57549662,137.0,-51.802994,29.731617,89.561005,7.4,4.5,260.0
11.4,-128.17200351,0.57549326,142.0,-55.512558,29.881721,87.094482,7.6,4.7,260.0
11.6,-128.17189009,0.57549337,148.0,-59.019432,29.999496,84.503937,7.9,4.9,259.0
11.8,-128.17177209,0.57549809,153.0,-62.201836,30.0658,81.675903,8.2,5.1,259.0
12.0,-128.17165753,0.57550627,158.0,-65.058144,30.091618,78.763702,8.5,5.4,258.0
12.2,-128.17153725,0.57552022,164.0,-67.773651,30.046116,75.510254,8.9,5.6,257.0
12.4,-128.17142499,0.57553877,168.0,-70.013428,29.897217,72.449844,9.3,5.8,256.0
12.6,-128.17131274,0.57556194,174.0,-72.028076,29.613245,69.339432,9.5,6.0,256.0
12.8,-128.17119591,0.57559203,179.0,-73.691422,29.170841,66.183716,9.7,6.1,255.0
13.0,-128.17108367,0.57562674,183.0,-74.928734,28.549421,63.286301,9.7,6.1,254.0
13.2,-128.17097487,0.57566605,188.0,-75.830383,27.777166,60.622253,9.5,6.0,254.0
13.4,-128.17086722,0.57571113,193.0,-76.593567,26.816883,58.062729,9.2,5.8,253.0
13.6,-128.17075957,0.57576197,197.0,-77.218475,25.675598,55.700745,8.9,5.6,253.0
13.8,-128.17066568,0.57581165,201.0,-77.627426,24.569738,53.769608,8.4,5.3,252.0
14.0,-128.17056148,0.57587287,205.0,-77.875565,23.183804,51.822891,7.8,4.9,252.0
14.2,-128.17046186,0.57593639,210.0,-77.812027,21.732864,50.122604,7.2,4.4,252.0
14.4,-128.17036454,0.57600453,213.0,-77.558517,20.215801,48.596359,6.6,4.0,253.0
14.6,-128.17026952,0.57607612,217.0,-77.287849,18.636457,47.216049,6.0,3.5,253.0
14.8,-128.17017221,0.57615348,220.0,-77.014252,17.084465,45.812897,5.4,3.0,254.0
15.0,-128.17007948,0.57623314,223.0,-76.365486,15.591013,44.370972,5.1,2.7,255.0
15.2,-128.16999478,0.57631049,225.0,-75.405319,14.326136,42.995575,4.9,2.3,255.0
15.4,-128.16990549,0.57639592,228.0,-74.143806,13.099936,41.571335,4.7,2.1,257.0
